CENSUS_YEAR,COMM_CODE,DWELLING_CNT,RESIDENT_CNT,OCPD_DWELLING_CNT,VACANT_DWELLING_CNT,OCPD_OWNERSHIP_CNT,RENOVATION_DWELLING_CNT,UNDER_CONST_DWELLING_CNT,INACTIVE_CNT,OTHER_PURPOSE_CNT
2018,MLI,1,0,1,0,0,0,0,0,0
2000,BUR,2,2,1,1,0,0,0,0,
2005,KEL,903,"2,298",871,32,501,0,0,0,0
2019,WES,0,0,0,0,0,0,0,0,0
2015,NAW,3,15,2,1,0,0,0,0,0
2013,ERL,740,"1,241",701,26,473,7,0,5,1
2014,RMT,567,"1,238",534,20,321,8,3,0,2
2001,DIA,271,853,270,0,264,1,0,0,0
2009,LMR,"2,298","3,222","2,076",108,640,37,4,55,18
2007,BRE,"2,571","6,225","2,504",35,"1,710",16,2,11,3
1999,MPL,809,"2,192",805,4,780,0,0,0,
2000,VIC,"3,312","5,257","3,037",199,600,22,0,0,
2015,LPK,"1,412","2,726","1,368",41,439,1,0,1,1
2019,NOL,"2,468","7,504","2,365",33,"2,145",2,61,0,7
1998,MPK,"2,903","9,307","2,870",32,"2,619",0,0,,
1998,PKD,843,"1,736",825,16,564,0,1,,
2004,BDO,369,"1,021",363,6,325,0,0,0,0
2007,SOW,"2,627","6,148","2,538",42,"1,632",13,1,32,1
2018,LPK,"1,094","2,400",995,92,325,6,0,0,1
2017,PKH,925,"1,690",818,58,444,12,8,7,22
2009,CAS,"1,952","6,096","1,821",81,"1,193",11,0,39,0
2014,SHN,"3,305","9,602","3,270",29,"2,710",3,1,2,0
2000,PAL,"1,642","3,233","1,609",30,"1,053",2,0,0,
1999,BNF,"1,673","3,456","1,579",83,830,4,0,4,
2003,X04,0,9,0,0,0,0,0,0,0
2012,PKD,"1,020","2,296",932,41,540,2,34,10,1
2013,BRE,"2,598","6,076","2,508",68,"1,673",12,1,5,4
2019,STR,"2,446","6,855","2,371",62,"2,146",10,1,2,0
2017,COL,989,"2,212",922,62,662,2,0,2,1
2002,WES,5,2,4,1,2,0,0,0,0
2003,HAW,"3,326","10,879","3,295",31,"3,139",0,0,0,0
2014,SAN,"2,126","6,190","2,100",19,"1,831",3,2,2,0
2019,HOU,"1,108","2,798","1,024",62,742,14,5,2,1
2009,RMT,558,"1,232",530,7,326,8,4,9,0
2013,CHA,"3,917","11,946","3,776",49,"3,416",4,76,0,12
2003,GRE,500,996,477,22,450,0,0,0,1
2013,GRE,498,943,479,16,416,0,0,2,1
2017,WAL,"1,925","4,669","1,546",95,"1,305",0,259,0,25
2010,RDL,640,"1,523",590,36,480,4,8,1,1
2011,GBP,0,0,0,0,0,0,0,0,0
2011,SSW,165,397,156,7,137,1,0,1,0
2016,RCK,"1,681","3,636","1,547",61,494,1,33,35,4
2016,X11,0,39,0,0,38,0,0,0,0
2015,WHL,"3,021","6,409","2,758",118,"1,641",12,88,29,16
2003,EPK,"1,217","3,458","1,155",27,"1,090",16,14,5,0
1999,KEL,903,"2,219",891,11,494,1,0,0,
2010,ABB,"2,009","5,805","1,895",83,"1,396",10,1,20,0
2017,MLR,"2,645","6,990","2,590",48,"2,013",7,0,0,0
2001,BRD,"2,417","4,768","2,270",112,820,7,7,17,4
1999,SOC,"1,847","3,476","1,777",56,679,5,3,3,
2002,UOC,644,"2,264",629,1,0,0,0,0,14
2004,WSP,"1,623","3,899","1,369",70,"1,325",1,172,1,10
2001,FAL,"3,253","10,682","3,182",67,"2,135",1,0,1,2
2010,GRV,"1,119","1,990","1,041",66,418,10,0,1,1
2011,FLN,"3,381","7,313","2,964",291,"1,041",33,6,86,1
2013,BRI,"4,202","12,353","4,154",42,"3,331",1,0,2,3
2015,PEG,1,0,1,0,0,0,0,0,0
2009,WIL,"2,279","5,296","2,229",31,"1,794",11,0,8,0
2006,MAN,378,542,329,7,45,0,34,0,8
2000,NGM,996,"2,522",982,13,798,0,1,0,
1999,VAL,903,"2,461",844,16,835,0,37,0,
1999,SSD,"2,287","3,758","2,232",32,607,5,2,2,
2005,RAM,"1,151","2,070","1,031",79,563,9,8,18,6
2009,GRV,"1,113","2,004","1,038",58,428,2,0,13,2
2009,BNK,"3,524","5,156","3,200",208,994,42,19,43,12
2017,CHR,727,"2,148",717,7,669,2,1,0,0
2001,HOU,939,"2,601",897,35,713,2,0,0,5
2004,WIL,"2,261","5,357","2,204",45,"1,846",8,0,1,3
2003,ROC,"1,576","3,836","1,437",49,"1,383",0,76,0,14
2014,BRI,"4,205","12,588","4,138",60,"3,336",0,1,3,3
2016,NHV,"1,005","2,440",969,23,661,7,0,6,0
2001,X03,41,112,34,6,15,0,1,0,0
1999,PAL,"1,641","3,305","1,620",18,"1,040",1,0,2,
2014,FLI,63,133,59,1,54,1,0,0,2
2000,DNW,805,392,232,25,86,46,496,0,
2007,SRI,32,57,25,1,7,0,0,4,2
2011,MOR,"3,148","10,456","3,075",63,"2,617",1,2,7,0
2005,SOW,"2,623","6,228","2,539",83,"1,590",1,0,0,0
2013,WOO,"2,398","6,202","2,353",38,"1,750",2,0,1,4
2017,RUT,981,"2,370",953,25,357,2,0,1,0
2000,GRE,476,982,449,26,417,0,1,0,
2004,SHS,622,"1,651",613,8,601,1,0,0,0
1998,HAM,"1,388","3,847","1,131",13,"1,131",0,220,,
1998,X02,39,"1,023",39,0,30,0,0,,
2009,MAH,46,6,4,1,0,0,33,0,8
2013,PKD,"1,019","2,301",919,58,487,0,31,10,1
2011,BRA,"2,545","5,978","2,478",62,"1,952",2,0,2,1
2014,ROC,"3,082","8,178","2,989",46,"2,563",5,31,6,5
2018,SKE,0,0,0,0,0,0,0,0,0
2009,VAR,"5,497","12,157","5,258",210,"3,454",11,1,11,6
2011,SNA,"2,124","3,110","1,906",195,493,11,2,3,7
2018,CNS,633,"1,629",464,111,438,0,39,0,19
2006,GBK,"3,202","6,827","3,098",44,"1,708",17,23,16,4
2015,MLR,"2,643","7,041","2,600",40,"2,081",2,0,0,1
2005,SPR,"1,720","2,859","1,313",202,555,1,195,2,7
2011,THO,"3,860","8,640","3,619",160,"2,208",16,0,58,7
2014,COA,"1,480","3,303","1,433",29,"1,225",5,0,11,2
2004,LPK,"1,419","2,398","1,328",82,599,2,0,0,7
2002,EPK,"1,214","3,497","1,173",18,"1,104",9,7,6,1
2019,RYV,1,0,1,0,0,0,0,0,0
2018,SFH,0,0,0,0,0,0,0,0,0
2019,PKH,936,"1,691",841,58,480,5,5,13,14
2012,CIA,4,0,2,2,0,0,0,0,0
1999,DOU,"2,952","8,891","2,912",23,"2,867",0,17,0,
2017,HAW,"3,333","9,512","3,281",41,"3,011",9,0,1,1
2011,RED,917,"1,630",875,41,694,1,0,0,0
2014,CED,"2,609","6,271","2,572",27,"1,890",4,0,4,2
2013,NGM,"1,014","2,326",943,50,732,8,10,1,2
2017,STD,2,0,1,0,0,0,0,1,0
1998,SCA,344,829,334,10,319,0,0,,
1998,SAN,"2,074","6,960","2,062",12,"2,058",0,0,,
2001,VAF,14,21,11,2,4,0,0,0,1
2004,SPR,"1,550","2,976","1,356",107,534,1,73,6,7
2007,UOC,645,"2,259",626,8,0,1,0,10,0
2007,KIL,"3,539","6,528","3,230",64,"1,701",16,78,135,16
2001,WHL,"2,733","5,401","2,575",124,"1,447",4,13,14,3
2007,SHW,451,"1,238",345,0,334,0,95,11,0
2015,BOW,"5,301","11,233","5,061",155,"2,517",36,27,18,4
2009,SKY,0,0,0,0,0,0,0,0,0
2019,RIV,"3,474","9,244","3,419",43,"3,069",8,0,0,4
2014,X01,113,382,108,0,115,1,2,1,1
2017,CAP,"2,336","4,459","2,074",182,832,21,27,18,14
2014,VAL,"1,904","5,518","1,868",13,"1,804",4,16,0,3
2002,FLI,62,109,60,2,58,0,0,0,0
1998,COA,"1,283","3,133","1,264",19,"1,264",0,0,,
2007,X05,6,25,6,0,3,0,0,0,0
2006,PKL,"1,448","4,046","1,431",7,"1,383",10,0,0,0
2015,SET,2,0,0,0,0,0,2,0,0
2007,HAR,"2,554","7,483","2,523",27,"2,393",4,0,0,0
2012,WIL,"2,282","5,227","2,235",35,"1,784",11,0,1,0
2015,S23,1,0,0,0,0,0,0,0,1
1999,S23,6,15,4,1,1,0,0,1,
2014,HIW,996,"2,226",936,44,583,1,3,8,4
2013,CRE,"3,605","6,207","3,404",146,"1,331",14,18,4,19
2014,WOO,"2,409","6,237","2,354",42,"1,743",12,0,0,1
2019,GBP,0,0,0,0,0,0,0,0,0
2019,RCK,"1,715","3,621","1,553",108,439,5,33,11,5
2013,GPK,3,0,3,0,0,0,0,0,0
2003,VIS,791,"2,205",737,52,360,1,0,1,0
2008,KIL,"3,598","6,485","3,223",124,"1,702",25,112,96,18
2008,CRE,"3,647","5,976","3,310",91,"1,417",78,88,66,14
2014,HOR,5,69,3,2,0,0,0,0,0
2007,WIL,"2,277","5,394","2,228",24,"1,788",18,0,6,1
2011,SAW,2,0,2,0,0,0,0,0,0
2011,HIW,998,"2,095",910,41,597,2,1,39,5
2004,X09,5,25,5,0,5,0,0,0,0
2011,EAU,"1,325","1,706","1,077",90,618,8,4,94,52
2018,MNI,3,0,0,3,0,0,0,0,0
2000,SOV,896,"2,265",868,27,508,0,0,1,
2018,TAR,"5,269","18,929","4,907",271,"3,333",6,1,77,7
2015,KCA,"1,960","5,969","1,828",23,"1,668",1,108,0,0
2018,SCE,"2,928","8,090","2,884",23,"2,728",7,2,10,2
2019,SGH,"3,172","7,924","2,803",141,"2,321",3,219,0,6
2008,HID,"3,859","11,737","3,802",49,"3,539",4,0,3,1
2013,WND,"2,443","4,121","2,336",63,891,2,27,5,10
2014,NOL,258,550,196,3,190,0,47,0,12
2009,BRI,"4,088","10,989","3,825",74,"3,229",5,178,6,0
2010,KIN,"2,375","4,334","2,163",151,788,47,2,7,5
2013,EPK,"1,216","3,444","1,112",48,"1,012",23,30,3,0
2016,SOV,833,"1,845",761,44,404,6,1,15,6
2015,DNW,"1,821","2,496","1,469",114,564,14,195,2,27
2016,SRI,19,0,6,2,0,2,0,0,9
2004,CIT,"3,477","10,008","3,440",36,"3,269",0,0,1,0
1999,PUM,697,"1,949",689,7,417,1,0,0,
2006,FLI,62,96,57,1,57,0,0,4,0
2019,PCK,35,14,5,0,0,0,30,0,0
2019,APP,"2,415","6,980","2,294",102,"1,298",4,0,15,0
2001,HIW,942,"2,137",908,26,699,1,0,5,2
2009,GRI,6,0,4,2,0,0,0,0,0
2009,WND,"2,400","3,916","2,196",128,953,49,14,6,7
1998,POI,846,"1,369",829,11,829,0,0,,
2004,DAL,"3,696","9,021","3,581",106,"2,576",3,1,3,2
1999,HOR,2,0,0,2,0,0,0,0,
2005,EAU,"1,140","1,528",910,54,573,4,67,1,104
2012,BNF,"1,950","3,832","1,700",135,639,16,78,14,7
2018,PKD,"1,089","2,601",997,76,591,4,9,0,3
2002,MAC,"1,775","5,660","1,766",6,"1,615",1,0,1,1
2013,SPH,"3,274","9,184","3,082",96,"2,587",6,82,1,7
2017,ST2,7,26,2,5,0,0,0,0,0
2005,FAI,"1,593","3,634","1,549",34,"1,130",3,0,7,0
2017,SDC,"3,418","9,994","3,345",64,"2,975",3,1,1,4
2014,SOV,926,"1,815",778,28,422,12,1,103,4
2016,BRA,"2,555","5,985","2,489",49,"1,899",8,0,7,2
2011,FAI,"1,605","3,552","1,543",44,"1,051",0,0,16,2
2012,CHA,"3,759","11,550","3,647",50,"3,315",2,50,1,9
2012,POI,846,"1,318",810,33,629,1,0,2,0
2019,MAN,659,"1,025",518,22,29,0,113,0,6
2001,ACA,"5,005","11,012","4,862",126,"2,949",2,0,5,10
2008,PEG,2,0,1,1,0,0,0,0,0
1998,MLR,"1,583","4,732","1,572",9,"1,569",0,0,,
2011,CRE,"3,608","5,887","3,236",270,"1,345",50,13,29,10
2015,PKD,"1,071","2,393",925,82,550,7,48,8,1
2015,CAN,"3,209","7,949","3,134",54,"2,528",6,4,7,4
2019,COP,0,0,0,0,0,0,0,0,0
1999,X09,14,28,12,1,5,0,0,0,
2007,BNF,"1,793","3,738","1,655",41,674,13,6,73,5
2017,SAN,"2,130","5,965","2,091",35,"1,790",3,0,0,1
2007,MID,"2,651","7,231","2,623",18,"1,873",2,6,1,1
2016,VAR,"6,041","12,610","5,537",166,"3,469",28,291,8,11
2004,EDG,"5,415","17,274","5,316",93,"4,789",1,1,3,1
2004,BRI,"2,383","6,179","2,123",27,"2,028",3,218,1,11
2019,TAR,"5,272","19,022","4,930",168,"3,135",15,5,153,1
1999,RIV,"3,463","10,620","3,445",16,"3,301",1,0,0,
2000,TUS,"1,699","4,099","1,520",35,"1,475",0,121,0,
1998,CIA,5,5,3,2,3,0,0,,
2012,GBK,"3,247","7,052","3,109",88,"1,596",6,9,26,9
1998,CHK,587,"1,753",576,11,575,0,0,,
2018,CHN,"1,989","2,176","1,452",189,351,13,309,0,26
2018,DRN,"2,110","5,046","2,027",75,"1,634",6,0,1,1
1998,ALB,"2,501","6,685","2,440",57,"1,918",0,0,,
2007,QLD,"1,882","5,135","1,862",11,"1,513",1,0,7,1
2002,DIS,377,713,229,25,228,0,111,0,12
2019,HPK,"2,277","3,835","1,912",300,645,7,19,28,11
2007,NHU,246,655,242,1,226,2,0,1,0
2009,KCA,"1,180","3,383","1,075",19,"1,023",0,76,2,8
2009,MAL,"2,766","5,929","2,657",87,"1,482",3,8,10,1
2016,RID,339,616,308,22,232,3,3,0,3
2011,RIC,"2,208","4,113","1,959",98,"1,141",8,97,43,3
1999,X05,6,18,3,1,3,0,0,0,
2000,DRN,"2,102","6,389","2,076",25,"1,689",0,0,0,
2009,MON,"1,769","3,792","1,550",75,841,7,75,60,2
2007,SHG,865,"1,596",770,34,347,38,1,17,5
2011,WAL,313,594,247,20,242,0,30,0,16
2012,DRG,"1,501","4,084","1,444",37,"1,103",20,0,0,0
2015,OGD,"3,892","8,844","3,744",94,"2,191",17,2,31,4
2008,CHA,"3,387","9,651","2,978",49,"2,848",2,348,0,10
2004,GLA,"2,976","6,438","2,849",115,"1,817",5,0,3,4
2016,SHG,789,"1,560",687,82,318,7,9,2,2
1998,FHI,1,1,1,0,1,0,0,,
2015,SIL,"3,531","8,959","3,472",45,"2,905",14,0,0,0
2006,SOC,"2,106","3,420","1,850",109,840,0,112,23,12
2002,STA,719,"1,807",704,5,333,2,0,0,8
2004,ST4,8,5,2,6,2,0,0,0,0
2015,X13,32,56,28,4,36,0,0,0,0
2003,WND,"2,319","3,750","2,124",173,780,4,10,3,5
2014,LPK,"1,412","2,623","1,379",31,380,0,0,1,1
2006,MIS,"3,193","4,433","3,041",61,"1,125",13,51,5,22
2014,X02,23,"1,458",19,1,17,0,0,0,3
2015,BNK,"3,534","5,516","3,285",179,900,18,14,4,34
2001,SHN,"2,935","8,746","2,787",42,"2,573",0,103,0,3
2001,X14,63,144,58,2,31,1,1,1,0
2012,REN,"3,231","5,844","2,995",125,"1,671",10,40,52,9
2016,MAF,156,450,154,2,149,0,0,0,0
2001,EAG,109,424,101,5,92,3,0,0,0
2018,HIF,0,0,0,0,0,0,0,0,0
2016,LKV,"2,350","5,457","2,278",48,"1,792",13,6,1,4
2016,SPH,"3,344","9,993","3,251",61,"2,797",1,22,3,6
2007,MLR,"2,305","6,417","2,267",27,"2,032",8,0,3,0
2018,GDL,"1,123","2,737","1,078",27,823,9,3,5,1
1998,SIG,"3,855","9,762","3,602",81,"3,599",0,162,,
2019,NHV,"1,011","2,358",969,27,645,6,0,6,3
2003,KEL,903,"2,249",885,18,493,0,0,0,0
2009,CRM,437,"1,382",428,5,416,0,2,1,1
2002,X09,9,34,8,1,4,0,0,0,0
2014,KCA,"1,808","5,398","1,637",17,"1,535",0,151,1,2
2005,SSD,"2,351","3,698","2,227",92,694,10,2,0,20
2014,CIT,"3,482","10,388","3,450",24,"3,045",5,0,1,2
2000,PKH,789,"1,506",735,39,360,2,2,4,
2006,WHL,"2,818","5,557","2,616",94,"1,502",14,64,26,4
2010,HAM,"2,472","7,990","2,446",20,"2,348",2,1,0,3
2012,HAR,"2,569","7,401","2,538",29,"2,213",1,0,1,0
2013,COR,"1,515","5,937","1,492",16,"1,333",1,0,6,0
2008,LPK,"1,424","2,703","1,387",24,552,4,0,0,9
2016,RIV,"3,463","9,430","3,386",52,"3,072",4,10,7,4
2006,AUB,312,311,107,0,106,0,193,0,12
2012,PEN,"3,212","8,547","3,030",106,"1,891",10,2,63,1
2010,KCA,"1,453","4,003","1,238",27,"1,162",0,182,0,6
2003,GLA,"2,911","6,442","2,829",74,"1,867",5,1,0,2
2018,ARB,"3,942","10,636","3,852",72,"3,267",11,1,5,1
2003,GBK,"3,140","6,958","3,023",107,"1,735",0,2,7,1
2016,BRD,"5,781","6,049","3,004",200,"1,256",14,454,44,65
2010,LEG,6,12,5,0,0,0,0,0,1
2008,EAU,"1,152","1,636",993,42,623,22,31,41,23
2003,WLD,"1,054","2,586","1,037",15,959,2,0,0,0
2016,RDL,628,"1,490",575,29,438,9,11,2,2
2018,CAR,131,321,97,6,86,0,17,0,11
2003,VAL,"1,431","3,913","1,300",55,"1,282",1,68,1,6
2006,EAG,110,415,104,4,102,0,2,0,0
2019,KIL,"3,927","7,683","3,501",276,"1,952",24,78,24,24
2000,EAU,918,"1,424",852,58,501,3,0,0,
2011,HOU,"1,110","2,926","1,021",55,771,10,20,2,2
2019,LKB,"4,108","10,290","4,012",78,"3,516",15,1,0,2
2012,ALB,"2,709","6,234","2,546",111,819,17,0,33,2
2006,COU,"1,426","3,705","1,417",8,"1,315",1,0,0,0
2015,GRV,"1,123","2,113","1,057",50,413,0,0,14,2
2019,PAN,"8,199","25,710","7,958",216,"6,094",12,1,4,8
2017,ARB,"3,938","10,713","3,858",67,"3,292",11,2,0,0
2015,MAN,661,"1,055",494,46,27,1,113,1,6
2001,HPK,"1,984","3,679","1,863",92,652,4,3,18,4
2002,SCA,343,905,337,2,307,2,1,0,1
2002,MNI,4,2,2,2,1,0,0,0,0
2003,RID,343,634,315,12,264,6,0,7,3
2007,UNI,"1,379","2,944","1,327",40,423,5,0,5,2
2019,CGR,"2,215","6,995","2,171",31,"1,929",6,1,5,1
1998,MOP,"2,381","4,741","2,264",113,"1,603",0,1,,
2008,QPK,188,450,183,4,0,0,0,0,1
2001,VAR,"5,330","12,294","5,102",88,"3,428",132,1,0,7
2015,ERI,"2,472","7,309","2,416",41,"1,728",8,1,2,4
2004,PKH,830,"1,539",724,59,379,2,36,0,9
2012,HAW,"3,331","9,831","3,301",25,"3,067",3,0,2,0
2010,ABP,0,0,0,0,0,0,0,0,0
2005,ROY,"2,493","5,631","1,998",132,"1,915",1,317,0,45
2015,SHG,793,"1,603",719,44,307,5,13,10,2
2018,MRT,"4,238","14,905","4,022",125,"3,034",17,1,68,5
2004,ALB,"2,600","6,098","2,384",210,911,2,2,0,2
2012,MPK,"3,050","8,391","2,910",103,"2,083",14,0,20,3
2010,FLI,63,110,59,4,49,0,0,0,0
2003,ERI,"2,252","7,059","2,224",25,"1,757",0,0,3,0
2001,DAL,"3,684","9,222","3,607",57,"2,546",8,1,3,8
2014,SHW,"1,228","3,778","1,138",22,901,0,62,4,2
2018,ABB,"2,060","5,986","1,973",74,"1,391",9,2,1,1
2015,RMT,569,"1,276",534,20,317,3,8,3,1
2019,DRN,"2,111","5,065","2,025",79,"1,641",4,0,3,0
2017,BUR,2,0,2,0,0,0,0,0,0
2000,QLD,"1,809","5,476","1,789",19,"1,503",0,0,1,
1999,SSW,164,420,164,0,159,0,0,0,
2011,UMR,"1,071","2,536",988,33,731,16,16,11,7
2016,CRA,"6,608","18,013","6,217",149,"5,527",3,215,0,24
2009,ROY,"3,788","10,423","3,588",101,"3,242",4,88,2,5
2010,COR,"1,495","5,898","1,468",23,"1,365",0,0,4,0
2002,CHW,"1,497","3,719","1,481",13,"1,224",1,1,0,1
2006,ALT,"4,276","8,175","3,961",125,"2,690",10,122,53,5
2007,GBK,"3,201","6,857","3,083",46,"1,695",29,1,40,2
2006,TUX,"2,561","4,454","2,317",135,989,13,30,42,24
2004,WHL,"2,783","5,453","2,566",161,"1,457",5,44,5,2
2002,TEM,"3,525","11,853","3,475",39,"2,717",10,0,0,1
2004,MOR,"3,085","10,498","3,024",60,"2,797",0,0,0,1
2017,MRT,"4,185","14,708","3,959",177,"2,983",35,0,13,1
2010,PKH,856,"1,603",776,44,426,11,8,16,1
2013,DNE,"1,230","2,775","1,062",87,144,10,0,1,70
2001,COR,"1,348","5,408","1,289",26,"1,269",0,28,0,5
2006,PAL,"1,704","3,319","1,680",21,"1,087",0,0,1,2
2003,X03,25,96,23,2,13,0,0,0,0
2018,THO,"3,839","8,846","3,657",143,"1,971",19,1,10,9
2006,BRA,"2,538","6,182","2,517",17,"2,038",4,0,0,0
2012,MRL,"3,123","8,434","3,021",87,"1,943",5,0,9,1
2014,ACA,"5,067","10,969","4,884",94,"2,683",19,2,63,5
2003,BYV,249,677,243,5,243,0,0,1,0
2002,LPK,"1,253","1,823",989,24,435,0,236,0,4
2001,APP,"1,446","5,269","1,435",11,"1,307",0,0,0,0
2012,SNA,"2,130","3,308","2,027",64,488,10,3,19,7
2000,RDL,659,"1,645",632,20,521,5,0,1,
2008,X11,0,26,0,0,25,0,0,0,0
2005,NGM,"1,003","2,404",972,24,757,1,5,0,1
2005,ALB,"2,614","6,031","2,409",185,892,1,0,14,5
2014,EAG,110,500,97,6,94,1,6,0,0
2006,CAM,918,"2,039",878,31,562,3,1,5,0
2008,CAS,"1,940","6,329","1,857",66,"1,246",4,0,13,0
2010,BDO,371,971,365,5,308,0,0,1,0
2018,QLD,"1,905","4,683","1,844",50,"1,447",6,0,5,0
2009,DNC,"4,872","7,715","4,354",331,329,16,19,42,110
2000,PAT,"1,848","3,860","1,685",81,"1,245",0,11,0,
2018,SDC,"3,421","9,915","3,372",37,"2,997",8,1,0,3
2012,SHW,979,"2,521",728,14,666,1,225,8,3
1998,BNF,"1,654","3,431","1,577",75,885,0,0,,
1999,KIL,"3,319","6,383","3,098",134,"1,666",5,46,25,
2001,ESH,1,1,1,0,1,0,0,0,0
2010,CHV,"1,322","2,318","1,262",51,929,0,0,2,7
2002,MEA,295,679,289,5,254,0,1,0,0
2005,X14,7,12,6,1,1,0,0,0,0
2011,HAR,"2,563","7,485","2,540",19,"2,263",1,0,3,0
2012,SPH,"3,166","8,779","2,996",64,"2,561",0,89,6,11
2017,PKD,"1,102","2,565",984,85,582,2,26,2,3
2017,HID,"3,874","11,708","3,828",35,"3,406",4,0,4,3
2018,RAN,"3,077","7,566","2,965",97,"1,937",7,1,3,4
2014,MNI,3,0,1,2,0,0,0,0,0
2000,SHI,156,331,155,1,139,0,0,0,
2014,KIN,"2,395","4,812","2,309",49,745,6,2,24,5
2014,X06,15,64,12,2,25,0,1,0,0
2006,HHB,0,0,0,0,0,0,0,0,0
2005,SPH,"1,673","4,399","1,493",87,"1,426",1,71,0,21
2014,PIN,"3,773","10,122","3,685",63,"2,275",18,0,4,3
2002,DNW,"1,126","1,030",671,58,429,0,383,0,14
2001,STA,741,"1,972",726,13,376,0,0,0,2
2007,APP,"2,042","6,066","1,928",33,"1,448",3,63,13,2
2016,SUN,7,58,4,3,0,0,0,0,0
2013,ROX,163,405,145,5,135,3,10,0,0
2001,LMR,"2,228","2,986","2,014",59,308,74,72,1,8
2017,MID,"2,898","7,320","2,747",134,"1,837",10,0,0,7
2018,BRA,"2,557","5,893","2,492",56,"1,920",4,1,1,3
2019,NGM,"1,022","2,388",952,47,735,4,17,0,2
2012,BRA,"2,544","5,940","2,488",52,"1,942",4,0,0,0
2019,SPH,"3,372","9,938","3,289",61,"2,828",6,13,2,1
2007,EPK,"1,217","3,472","1,127",23,"1,052",26,25,13,3
2019,ESH,1,0,0,1,0,0,0,0,0
2018,BVD,15,40,14,1,0,0,0,0,0
2006,SET,0,0,0,0,0,0,0,0,0
2007,DDG,"3,963","11,858","3,926",32,"3,802",1,0,4,0
2001,PAN,843,"2,323",690,24,681,0,109,0,20
2006,GPK,4,6,4,0,3,0,0,0,0
2012,CHK,589,"1,704",575,6,470,7,1,0,0
2015,UOC,"1,241","2,968",961,2,0,0,278,0,0
2006,RAN,"2,969","7,698","2,905",50,"2,070",9,0,2,3
2007,WLD,"1,055","2,614","1,029",12,930,7,3,4,0
2003,WIL,"2,259","5,480","2,220",34,"1,853",2,2,0,1
2004,RIC,"2,066","3,897","1,879",142,"1,064",7,25,10,3
2015,SIG,"5,252","13,613","5,103",124,"4,619",15,3,6,1
2002,CRM,67,111,41,2,40,0,20,0,4
2005,THO,"3,769","8,812","3,591",143,"2,365",5,0,25,5
2019,BNF,"1,949","4,151","1,726",157,649,3,34,24,5
2018,FVI,1,0,0,1,0,0,0,0,0
2005,SCE,"2,920","9,433","2,902",16,"2,834",2,0,0,0
2008,HOR,5,16,2,3,0,0,0,0,0
2005,PKH,831,"1,566",769,36,419,11,7,4,4
2012,KIN,"2,383","4,508","2,274",74,796,20,0,8,7
1998,MAF,187,573,185,1,185,0,0,,
2003,ROY,"1,174","2,405",816,51,798,1,273,0,33
2010,MOP,"2,575","4,398","2,116",321,"1,245",15,29,86,8
2018,FAL,"3,573","10,481","3,319",236,"1,853",5,0,9,4
2007,ERL,748,"1,263",722,15,520,3,0,6,2
2003,LMR,"2,207","3,203","2,126",66,543,5,0,2,8
2004,FRA,3,4,2,1,0,0,0,0,0
2014,X11,0,25,0,0,38,0,0,0,0
2014,MOP,"2,694","5,436","2,462",97,"1,430",13,72,41,9
1998,CHR,829,"2,191",783,31,703,0,15,,
2010,WHL,"2,857","5,696","2,588",182,"1,505",17,31,26,13
2016,TUX,"2,731","4,978","2,414",220,"1,130",15,36,16,30
2000,WSP,212,383,130,10,113,0,58,0,
2018,VAR,"6,053","12,689","5,741",277,"3,486",22,3,4,6
2009,WAL,49,0,1,0,0,0,35,0,13
2018,X07,0,48,0,0,59,0,0,0,0
2001,CON,"8,032","12,041","7,607",273,"1,482",41,59,6,46
2001,CIT,"2,383","6,749","2,207",62,"2,142",0,94,0,20
2002,SUN,4,0,0,4,0,0,0,0,0
2012,OGD,"3,879","8,699","3,715",116,"2,227",13,0,33,2
1998,CLI,"1,346","2,010","1,301",37,"1,036",0,0,,
2010,UMR,"1,073","2,533",988,18,746,16,16,27,8
2003,EYA,775,"1,705",730,24,441,3,1,0,17
2011,ST1,5,0,2,3,0,0,0,0,0
2007,DOV,"4,425","10,427","4,255",75,"2,866",26,3,64,2
2005,CHA,"2,460","7,130","2,320",37,"2,257",3,90,0,10
2008,NHU,246,640,244,1,225,1,0,0,0
2016,GAG,730,"2,065",716,10,486,0,0,2,2
2001,CRM,33,15,6,6,6,0,16,0,5
2008,FAL,"3,399","10,079","3,188",107,"1,938",62,0,41,1
2008,CRA,"3,300","7,874","2,851",60,"2,657",1,364,2,22
2013,EFV,1,0,1,0,0,0,0,0,0
2008,EVE,"6,279","17,023","5,941",98,"5,574",5,205,5,25
2019,RSN,"1,828","5,844","1,468",76,"1,373",0,280,0,4
2000,BRD,"2,436","4,722","2,308",70,812,43,5,5,
2017,MEA,284,661,265,13,218,2,4,0,0
2001,SRI,33,73,28,3,13,0,0,0,2
2002,CHA,"1,754","4,867","1,618",41,"1,586",0,83,0,12
2006,FHT,"2,172","6,211","2,097",43,"1,449",0,0,31,1
1999,PEG,1,2,1,0,0,0,0,0,
2010,TEM,"3,635","10,722","3,453",130,"2,499",26,1,24,1
2012,DNC,"5,121","8,012","4,663",159,303,26,0,201,72
2001,CHW,"1,493","3,731","1,479",12,"1,211",0,0,1,1
2016,TUS,"6,513","19,662","6,400",90,"5,797",12,3,3,5
1999,VIS,786,"2,387",766,20,350,0,0,0,
2007,SIL,"3,511","9,225","3,457",35,"2,932",5,0,12,2
